GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
A2M	Alpha-2-macroglobulin deficiency	AD	N/A		
A4GALT	"Blood group, P system"	BG			
AAAS	Achalasia-addisonianism-alacrimia syndrome	AR			
AARS	"Charcot-Marie-Tooth disease, axonal, type 2N"	AD	N/A		
AARS2	Combined oxidative phosphorylation deficiency 8	AR	N/A		
AASS	Hyperlysinemia	AR	N/A		
ABAT	GABA-transaminase deficiency	AR	N/A		
ABCA1	"ABCA1 deficiency; Tangier disease; HDL deficiency, type 2"	AR	Allelic with Familial hypoalphalipoproteinemia (AD)		
ABCA12	"Ichthyosis, harlequin; Ichthyosis, lamellar, type 2"	AR 	N/A		
ABCA3	"Surfactant metabolism dysfunction, pulmonary, 3; Interstitial lung disease"	AD/AR			
ABCA4	"Cone-rod dystrophy 3; Retinitis pigmentosa 19; Stargardt disease 1; Retinal dystrophy, early-onset severe; Fundus flavimaculatus"	AR	N/A		
ABCB1	"Colchicine metabolism, association with"	AD			
ABCB11	"Cholestasis, progressive familial intrahepatic 2"	AD/AR	"Allelic with Cholestasis, benign recurrent intrahepatic, 2 (AR)"		
ABCB4	"Cholestasis, progressive familial intrahepatic 3; Low phospholipid-associated cholelithiasis 1;  Cholestasis, oral contraceptives induced; Cholestasis, familial intrahepatic, of pregnancy; Gallbladder disease 1"	AD/AR			
ABCB6	"Blood group, Langereis system"	BG	"Allelic with Dyschromatosis universalis hereditaria (AD); Familial pseudohyperkalemia (AD); Microphthalmia, isolated, with coloboma 7 (AD)"		
ABCB7	"Anemia, sideroblastic, and spinocerebellar ataxia"	XL	N/A		
ABCC11	"Apocrine gland secretion, variation in"	AR	N/A		
ABCC2	Dubin-Johnson syndrome	AD/AR	N/A		
ABCC6	Pseudoxanthoma elasticum	AD/AR/Digenic	"Allelic with Generalized calcification of infancy, 2 (AR)"		
ABCC8	"Diabetes mellitus, transient neonatal, 2; Diabetes, permanent neonatal; Hyperinsulinemic hypoglycemia, familial, 1; Hypoglycemia, leucine-induced"	AD/AR			
